FlowID,App,AppCategory,Category,Broad Category,Domain,Third_party,App_HOST,HOST1,HOST2,HOST3,HOST4,HOST5
138,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
139,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
140,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
141,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
142,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
143,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
144,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
145,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
146,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
147,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
148,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
149,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
150,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
151,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
152,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
153,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
154,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
155,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
156,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
157,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
158,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
159,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
160,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
161,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
162,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
163,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
164,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
165,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
166,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
167,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
168,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
169,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
170,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
171,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
172,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
173,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
174,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
175,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
176,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
177,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
178,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
179,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
180,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
181,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
182,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
183,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
184,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
185,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
186,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
187,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
188,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
189,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
190,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
191,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
192,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
193,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
194,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
195,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
196,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
197,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
198,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
199,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
200,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
201,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
202,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
203,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
204,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
205,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
206,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
207,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
208,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
209,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
210,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
211,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
212,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
213,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
214,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
215,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
216,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
217,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
218,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
219,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
220,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
221,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
222,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
223,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
224,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
225,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
226,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
227,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
228,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
229,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
230,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
231,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
232,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
233,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
234,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
235,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
236,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
237,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
238,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
239,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
240,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
241,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
242,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
243,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
244,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
245,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
246,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
247,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
248,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
249,KAYAK,Travel & Local,,,kayak.com,,KAYAK_kayak.com,www,kayak,com,,
250,Kik,Communication,,,,,Kik_,NA,,,,
251,Lose It!,Health & Fitness,,,,,Lose It!_,NA,,,,
252,Lose It!,Health & Fitness,Medical Info,Behavior,loseit.com,,Lose It!_loseit.com,gateway,loseit,com,,
253,Lose It!,Health & Fitness,Medical Info,Behavior,loseit.com,,Lose It!_loseit.com,gateway,loseit,com,,
254,Lose It!,Health & Fitness,Medical Info,Behavior,loseit.com,,Lose It!_loseit.com,gateway,loseit,com,,
255,Lose It!,Health & Fitness,Medical Info,Behavior,loseit.com,,Lose It!_loseit.com,gateway,loseit,com,,
256,Lose It!,Health & Fitness,Medical Info,Behavior,loseit.com,,Lose It!_loseit.com,gateway,loseit,com,,
257,Lose It!,Health & Fitness,Medical Info,Behavior,loseit.com,,Lose It!_loseit.com,gateway,loseit,com,,
258,Lose It!,Health & Fitness,Medical Info,Behavior,loseit.com,,Lose It!_loseit.com,gateway,loseit,com,,
259,Lose It!,Health & Fitness,Medical Info,Behavior,loseit.com,,Lose It!_loseit.com,gateway,loseit,com,,
260,Map My Walk,Health & Fitness,,,,,Map My Walk_,NA,,,,
261,MapQuest,Travel & Local,,,,,MapQuest_,NA,,,,
262,Monster Legends,Games,,,,,Monster Legends_,NA,,,,
263,MyFitnessPal,Health & Fitness,,,,,MyFitnessPal_,NA,,,,
264,MapFactor,Travel & Local,,,,,MapFactor_,NA,,,,
265,Nike+ Running,Health & Fitness,Post,Behavior,nike.com,,Nike+ Running_nike.com,api,nike,com,,
266,Nike+ Running,Health & Fitness,Post,Behavior,nike.com,,Nike+ Running_nike.com,api,nike,com,,
267,Facebook Pages,Business,,,,,Facebook Pages_,NA,,,,
268,Period Tracker,Health & Fitness,,,,,Period Tracker_,NA,,,,
269,Period Calendar,Health & Fitness,,,,,Period Calendar_,NA,,,,
270,Pinterest,Social,,,,,Pinterest_,NA,,,,
271,Points2Shop,Medical,,,,,Points2Shop_,NA,,,,
272,Priceline,Travel & Local,Search,Behavior,priceline.com,,Priceline_priceline.com,www,priceline,com,,
273,Priceline,Travel & Local,Search,Behavior,priceline.com,,Priceline_priceline.com,www,priceline,com,,
274,Priceline,Travel & Local,Search,Behavior,priceline.com,,Priceline_priceline.com,www,priceline,com,,
275,Priceline,Travel & Local,Search,Behavior,priceline.com,,Priceline_priceline.com,www,priceline,com,,
276,Priceline,Travel & Local,Search,Behavior,flexrez.com,,Priceline_flexrez.com,xml,flexrez,com,,
277,Priceline,Travel & Local,Search,Behavior,flexrez.com,,Priceline_flexrez.com,xml,flexrez,com,,
278,Priceline,Travel & Local,Search,Behavior,flexrez.com,,Priceline_flexrez.com,xml,flexrez,com,,
279,Priceline,Travel & Local,Search,Behavior,flexrez.com,,Priceline_flexrez.com,xml,flexrez,com,,
280,Priceline,Travel & Local,Search,Behavior,flexrez.com,,Priceline_flexrez.com,xml,flexrez,com,,
281,Priceline,Travel & Local,Search,Behavior,flexrez.com,,Priceline_flexrez.com,xml,flexrez,com,,
282,Priceline,Travel & Local,Search,Behavior,flexrez.com,,Priceline_flexrez.com,xml,flexrez,com,,
283,RunKeeper,Health & Fitness,,,,,RunKeeper_,NA,,,,
284,Scout,Travel & Local,Search,Behavior,telenav.com,,Scout_telenav.com,avengers,telenav,com,,
285,Scout,Travel & Local,Search,Behavior,telenav.com,,Scout_telenav.com,avengers,telenav,com,,
286,Scout,Travel & Local,Search,Behavior,telenav.com,,Scout_telenav.com,logshedcn,telenav,com,,
287,Scout,Travel & Local,Search,Behavior,telenav.com,,Scout_telenav.com,logshedcn,telenav,com,,
288,Scout,Travel & Local,Search,Behavior,telenav.com,,Scout_telenav.com,avengers,telenav,com,,
